estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,bound_source,source_objective_upper
0.99,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99,"author-approved capped-beta search override, enforced by controller",0.9995
0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,saved objective or external restriction,50.0
0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,saved objective or external restriction,50.0
1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,saved objective or external restriction,5.0
8.27597578070702,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,saved objective or external restriction,80.0
0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,saved objective or external restriction,8.0
0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,saved objective or external restriction,16.0
0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,saved objective or external restriction,8.0
2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,saved objective or external restriction,2.3
0.0,,,False,hbar_child_rooms,zero restriction,False,,,saved objective or external restriction,
0.14749883802554029,,,False,psi_child,normalized to 2.1,False,,,saved objective or external restriction,
0.179,,,False,payroll_tax,externally fixed,False,,,saved objective or external restriction,
2.0463613896121218,,,False,pension_period,budget derived,False,,,saved objective or external restriction,
0.63,,,False,housing_supply_elasticity,externally fixed,False,,,saved objective or external restriction,
0.005,,,False,tenure_choice_kappa,externally fixed,False,,,saved objective or external restriction,
0.733,,,False,alpha_cons,externally fixed,False,,,saved objective or external restriction,
2.0,,,False,sigma,externally fixed,False,,,saved objective or external restriction,
