parameter,estimate,lower,upper,transform,near_bound,status,interpretation,structural_coordinate
beta_annual,0.99,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert,0.22235259482292108,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
kappa_fert_continuation,0.29375681899887546,0.02,50.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
chi,0.9387774414508266,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
H0,10.575740282940387,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate,True
theta0,0.07468579274877866,0.0,8.0,softzero,True,diagnostic candidate; not a certified estimate,structural coordinate,True
theta1,0.09904939518071729,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate,True
first_birth_fixed_cost,0.5590467073749953,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
delta_alpha_jump,0.05134520227861577,0.0,0.25,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
delta_alpha,0.032877383384449836,0.0,0.25,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate,True
hbar_first_child_jump,0.0,,,,False,zero restriction,,False
hbar_child_rooms,0.0,,,,False,zero restriction,,False
psi_child,0.04491952765101177,,,,False,normalized to 2.1,,False
payroll_tax,0.179,,,,False,externally fixed,,False
pension_period,2.0463613896121235,,,,False,budget derived,,False
housing_supply_elasticity,0.63,,,,False,externally fixed,,False
tenure_choice_kappa,0.005,,,,False,externally fixed,,False
alpha_cons,0.733,,,,False,externally fixed,,False
sigma,2.0,,,,False,externally fixed,,False
