estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,actual_lower,actual_upper,near_actual_bound
0.9861354184363632,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995,0.94,0.99,False
0.2933055318704186,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True
0.4538659805118368,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.02,50.0,True
1.0094388767653766,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,0.1,5.0,False
7.579566558818859,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,0.2,80.0,False
0.04024742184861621,structural coordinate,0.0,True,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,True
0.09234772467336418,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.02,16.0,True
0.3151947070287402,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.0,8.0,False
2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,0.1,2.3,True
0.0,,,False,hbar_child_rooms,zero restriction,False,,,,,
0.17100378708201594,,,False,psi_child,normalized to 2.1,False,,,,,
0.179,,,False,payroll_tax,externally fixed,False,,,,,
2.046361389612122,,,False,pension_period,budget derived,False,,,,,
0.63,,,False,housing_supply_elasticity,externally fixed,False,,,,,
0.005,,,False,tenure_choice_kappa,externally fixed,False,,,,,
0.733,,,False,alpha_cons,externally fixed,False,,,,,
2.0,,,False,sigma,externally fixed,False,,,,,
